Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Latitude,Longitude
Trinidad and Tobago,191496,104509629,4390,2558496,10.7466905,-61.0840075
Tunisia,1153361,771829010,29423,21843177,33.8439408,9.400138
Turkmenistan,0,0,0,0,39.3763807,59.3924609
Turks and Caicos Islands,6588,4375841,38,27133,21.721746,-71.5527809
Tuvalu,2943,632461,1,12,-8.6405212,179.1582918181797
Türkiye,17004677,10786834699,101419,73960106,38.9597594,34.9249653
Uganda,170775,122621824,3632,2601841,1.5333554,32.2166578
Ukraine,5516491,3603937502,109875,75959399,49.4871968,31.2718321
United Arab Emirates,1067030,770441619,2349,1985107,24.0002488,53.9994829
United Republic of Tanzania,43078,25170452,846,567513,-6.5247123,35.7878438
United States Virgin Islands,25245,13485056,131,85391,17.73951,-64.783592
United States of America,103436829,64496325842,1127152,835284249,39.7837304,-100.445882
Uruguay,1038774,612474344,7634,5469995,-32.8755548,-56.0201525
Uzbekistan,170825,103937346,1016,651844,41.32373,63.9528098
Vanuatu,12019,5115277,14,6135,-16.5255069,168.1069154
Venezuela (Bolivarian Republic of),552695,401513188,5856,4369320,21.73528,-78.79639
Viet Nam,11620076,5598071631,43206,26003245,15.9266657,107.9650855
Wallis and Futuna,3550,1174021,8,5356,-13.289402,-176.204224
Yemen,11945,9196794,2159,1753371,16.3471243,47.8915271
Zambia,347022,233796560,4062,3078650,-14.5189121,27.5589884
Zimbabwe,265413,169627928,5707,4088211,-18.4554963,29.7468414
